,chromosome,start,end
LINC02264,4,117834133,117869960
LINC02265,4,40307184,40330422
LINC02266,4,145335263,145375617
LINC02267,4,96170385,96818864
LINC02268,4,174061731,174220441
LINC02269,4,173699082,174001488
LINC02270,4,12223445,12251286
LINC02271,4,61143656,61153962
LINC02272,4,156614125,156667509
LINC02273,4,152090459,152110159
LINC02275,4,169917761,169975989
LINC02276,4,141568740,141577173
LINC02278,4,38564003,38572022
LINC02283,4,54332727,54376753
LINC02353,4,32350976,32353220
LINC02355,4,149100384,149278123
LINC02357,4,26064298,26104947
LINC02358,4,54845549,54859533
LINC02360,4,11740507,11769563
LINC02362,4,184365180,184382416
LINC02363,4,184327881,184353977
LINC02364,4,28996484,29017262
LINC02365,4,184584086,184625807
LINC02374,4,187201977,187213470
LINC02377,4,131379717,131591825
LINC02379,4,126064116,126073370
LINC02380,4,57424495,57478341
LINC02382,4,170742332,170743819
LINC02383,4,43457527,43492543
LINC02427,4,184503271,184537631
LINC02428,4,103255788,103454667
LINC02429,4,58984215,59046959
LINC02430,4,149147793,149154175
LINC02431,4,171040564,171059163
LINC02432,4,141302910,141357096
LINC02433,4,157572470,157576154
LINC02434,4,188159570,188191826
LINC02435,4,123490242,123527582
LINC02436,4,185051081,185115500
LINC02437,4,184988997,185005186
LINC02438,4,19172335,19457035
LINC02447,4,7093776,7103843
LINC02462,4,134383467,134554526
LINC02465,4,129771589,129975827
LINC02466,4,129612330,129854292
LINC02469,4,79663761,79696837
LINC02472,4,29214253,29291886
LINC02473,4,24659856,24671568
LINC02475,4,44016700,44057242
LINC02477,4,160539254,160586817
LINC02479,4,130376229,130432227
LINC02480,4,52043796,52046954
LINC02481,4,6680936,6693673
LINC02482,4,6648695,6673965
LINC02483,4,75354076,75362566
LINC02484,4,34119021,34335351
LINC02485,4,135112905,135124297
LINC02492,4,187532873,187672755
LINC02493,4,17171757,17186079
LINC02494,4,58524515,58565226
LINC02497,4,31171013,31211678
LINC02498,4,10715844,10808938
LINC02499,4,73508232,73534128
LINC02500,4,181260442,181265148
LINC02501,4,31506422,31558831
LINC02502,4,119934718,119964298
LINC02503,4,103961616,104037543
LINC02504,4,171289475,171298267
LINC02505,4,36418515,36641939
LINC02506,4,31997341,32233265
LINC02507,4,147567606,147594589
LINC02508,4,188721162,188785968
LINC02509,4,176875655,176908031
LINC02510,4,137193756,137248660
LINC02511,4,136795919,137212799
LINC02512,4,170343089,170372311
LINC02513,4,38287812,38385962
LINC02514,4,187370648,187371921
LINC02515,4,187408232,187415758
LINC02516,4,124499937,124641930
LINC02517,4,8320105,8327165
LINC02562,4,75081702,75127302
LINC02600,4,3758748,3763390
LINC02615,4,128287907,128558149
LINC02616,4,37001763,37133849
LINC02619,4,58939288,58988182
LINC02835,4,65206455,65241817
LINC02928,4,55373637,55388497
LINC02945,4,111803231,112112273
LINC02994,4,83796421,84299240
LINC03074,4,151798140,151969381
LNCPRESS2,4,92240911,92277503
LNX1,4,53459301,53701405
LNX1-AS1,4,53496400,53549583
LNX1-AS2,4,53592895,53605382
LRAT,4,154626945,154753120
LRBA,4,150264435,151015727
LRIT3,4,109848107,109872315
LRP2BP,4,185363872,185395924
LRP2BP-AS1,4,185370725,185390928
LRPAP1,4,3503612,3532446
LRRC34P2,4,55313011,55313924
LRRC37A15P,4,102727274,102730721
LRRC66,4,51993652,52020363
LSM3P4,4,142317238,142317546
LSM6,4,146175703,146200000
LTO1P1,4,186170863,186171257
LTV1P1,4,120091046,120092282
LYAR,4,4267701,4290154
LYPLA1P2,4,110945109,110945799
MAB21L2,4,150582151,150584693
MAD2L1,4,120055623,120066858
MAEA,4,1289887,1340147
MAML3,4,139716753,140154184
MAN2B2,4,6575189,6623362
MANBA,4,102630770,102760994
MAP9,4,155342658,155376970
MAP9-AS1,4,155173525,155381694
MAPK10,4,85990007,86594625
MAPK10-AS1,4,86117912,86219926
MAPRE1P2,4,33010948,33011746
MARCHF1,4,163524298,164384050
MARK2P4,4,176012038,176014417
MCUB,4,109560209,109688719
MED28,4,17614641,17634105
MED28-DT,4,17586267,17614585
MEPE,4,87821398,87846814
MESTP3,4,28823244,28824211
METAP1,4,98995659,99062809
METTL14,4,118685392,118715433
METTL14-DT,4,118662102,118685627
METTL5P3,4,55219344,55219973
MFAP3L,4,169986597,170033031
MFSD10,4,2930561,2934834
MFSD8,4,127917799,127966034
MGARP,4,139266165,139280225
MGAT4D,4,140442262,140498377
MGST2,4,139665768,139740745
MIR1255A,4,101330302,101330414
MIR1255B1,4,36426366,36426428
MIR2054,4,125507259,125507307
MIR218-1,4,20528275,20528384
MIR297,4,110860582,110860647
MIR302A,4,112648183,112648251
MIR302B,4,112648485,112648557
MIR302C,4,112648363,112648430
MIR302CHG,4,112646476,112706894
MIR302D,4,112648004,112648071
MIR3139,4,143343460,143343535
MIR3140,4,152489327,152489416
MIR367,4,112647874,112647941
MIR3945,4,184851013,184851110
MIR3945HG,4,184843296,184855751
MIR4275,4,28819582,28819668
MIR4276,4,174423795,174423864
MIR4451,4,85722468,85722533
MIR4452,4,86542482,86542552
MIR4453,4,152536428,152536516
MIR4453HG,4,152536260,152539263
MIR4454,4,163093574,163093628
MIR4802,4,40502040,40502119
MIR5091,4,13627865,13627957
MIR548AG1,4,60922619,60922684
MIR548AH,4,76575551,76575626
MIR548G,4,147344629,147344717
MIR548I2,4,9556168,9556316
MIR548T,4,173268160,173268233
MIR571,4,350157,350252
MIR573,4,24520192,24520290
MIR574,4,38868032,38868127
MIR575,4,82753337,82753430
MIR576,4,109488698,109488795
MIR577,4,114656759,114656854
MIR578,4,165386242,165386337
MIR6082,4,171186184,171186292
MIR7849,4,146408583,146408688
MIR8053,4,47652669,47652743
MIR8066,4,101240795,101240872
MMAA,4,145599042,145660033
MMRN1,4,89879532,89954629
MND1,4,153344649,153415118
MOB1B,4,70902326,71022449
MORF4,4,173615936,173616906
MORF4L2P1,4,54086926,54087783
MRFAP1,4,6640091,6642729
MRFAP1L1,4,6707701,6709865
MRFAP1L2,4,6663396,6676755
MRPL1,4,77862830,77952785
MRPL22P1,4,56320719,56321334
MRPL42P1,4,119195269,119195691
MRPS18C,4,83455932,83469735
MRPS33P2,4,38006784,38007105
MRPS33P3,4,115142982,115143303
MRPS36P2,4,186900540,186900838
MSANTD1,4,3244369,3271738
MSMO1,4,165327667,165343164
MSX1,4,4859665,4863936
MTATP6P9,4,155457961,155458640
MTCO1P9,4,155459704,155461237
MTCO2P9,4,155458870,155459563
MTCO3P27,4,64606418,64606613
MTCO3P28,4,64611374,64611888
MTCO3P42,4,49548918,49549435
MTCO3P44,4,25720516,25721056
MTCO3P9,4,155457180,155457960
MTCYBP16,4,64607703,64608831
MTCYBP17,4,155451617,155452405
MTCYBP43,4,30884443,30885182
MTCYBP44,4,81733385,81734207
MTHFD2L,4,74114174,74303099
MTND1P22,4,155462873,155463823
MTND2P31,4,14505865,14506480
MTND2P33,4,155461633,155462663
MTND2P41,4,68049706,68050478
MTND3P24,4,64610980,64611308
MTND3P5,4,25720099,25720431
MTND4LP22,4,25719755,25720030
MTND4P8,4,155455050,155456411
MTND4P9,4,25718082,25719745
MTND5P13,4,64609454,64610532
MTND5P4,4,17061878,17062165
MTND5P5,4,101972423,101972798
MTND5P9,4,155453049,155454803
MTND6P16,4,64608905,64609424
MTNR1A,4,186526792,186555567
MTTP,4,99564081,99623997
MUC7,4,70430492,70482997
MXD4,4,2247432,2262109
MYL12BP2,4,184299129,184299640
MYL5,4,673580,682028
MYOZ2,4,119135832,119187789
N4BP2,4,40056797,40158252
NAA11,4,79225694,79326061
NAA15,4,139301446,139420033
NAAA,4,75910655,75941013
NACA3P,4,164943290,164943937
NACAP5,4,17552117,17552752
NAF1,4,163110073,163166890
NAP1L5,4,88695913,88697829
NAT8L,4,2059327,2069089
NCAPG,4,17810979,17844865
NCOA4P2,4,88508591,88510403
NCOA4P3,4,145624159,145626035
NDNF,4,121035613,121073021
NDNF-AS1,4,121071429,121080476
NDST3,4,118033618,118258634
NDST4,4,114827763,115113876
NDUFB2P1,4,154724586,154724880
NDUFB4P12,4,43898962,43899351
NDUFB4P9,4,140314163,140314550
NDUFB5P1,4,180573464,180574027
NDUFC1,4,139266880,139302551
NDUFS5P4,4,98976800,98977117
NDUFS5P5,4,118400514,118400834
NEIL3,4,177309874,177362936
NEK1,4,169369704,169612632
NELFA,4,1982717,2041903
NEUROG2,4,112513516,112516180
NEUROG2-AS1,4,112514291,112603529
NFKB1,4,102501330,102617302
NFXL1,4,47847233,47914667
NICOL1,4,2041995,2043964
NIPAL1,4,47914142,48040173
NKX1-1,4,1402932,1406442
NKX3-2,4,13540830,13544508
NKX6-1,4,84491985,84499292
NMNAT1P4,4,145456005,145456844
NMU,4,55595229,55636698
NOA1,4,56963350,56977606
NOCT,4,139015781,139045939
NOL8P1,4,165547532,165551060
NOP14,4,2937933,2963406
NOP14-AS1,4,2934876,2961738
NPFFR2,4,72031902,72148305
NPM1P41,4,82010665,82013095
NPNT,4,105894775,106004027
NPY1R,4,163323962,163344832
NPY2R,4,155208636,155217078
NPY2R-AS1,4,155129005,155209170
NPY5R,4,163343892,163351934
NR3C2,4,148078762,148444698
NSA2P6,4,152796063,152796831
NSD2,4,1871393,1982207
NSG1,4,4348140,4419058
NSUN7,4,40749925,40811184
NT5C3AP1,4,117575098,117576109
NUDT19P5,4,158182825,158183393
NUDT6,4,122888697,122922968
NUDT9,4,87422573,87459455
NUP54,4,76107562,76148485
NUP58P1,4,125681177,125683668
NWD2,4,37244743,37449463
OCIAD1,4,48805212,48861817
OCIAD1-AS1,4,48852008,48860203
OCIAD2,4,48885019,48906937
ODAM,4,70195725,70204576
ODAPH,4,75556048,75565871
OPRPN,4,70397931,70410195
OR7E103P,4,4126659,4127569
OR7E111FP,4,8981436,8982360
OR7E162P,4,3901566,3902594
OR7E35P,4,9754898,9755778
OR7E43P,4,4174319,4175238
OR7E83P,4,9512905,9513874
OR7E85BP,4,8949630,8950559
OR7E85P,4,9483718,9484702
OR7E94P,4,79587757,79588130
OR7E99P,4,4156522,4157443
OSTC,4,108650585,108667820
OSTCP4,4,112685055,112685503
OTOP1,4,4188726,4226929
OTUD4,4,145110838,145180589
PABPC1P1,4,39973444,39974338
PABPC1P7,4,102896725,102898237
PABPC4L,4,134196333,134201789
PACRGL,4,20696282,20752907
PAICS,4,56435741,56464578
PALLD,4,168497052,168928457
PALLD-AS1,4,168647896,168648587
PANCR,4,110511761,110616031
PAPSS1,4,107590276,107720234
PAQR3,4,78887127,78939438
PARM1,4,74933095,75050115
PARM1-AS1,4,74955974,74970362
PCAT4,4,79827323,79878424
PCDH10,4,133149294,133208606
PCDH10-DT,4,133075311,133151069
PCDH18,4,137518918,137532494
PCDH7,4,30720369,31146805
PCGF3,4,705748,770089
PCGF3-AS1,4,760202,781874
PCNAP1,4,99160937,99161645
PDCL2,4,55556519,55592245
PDE5A,4,119494397,119628804
PDE6B,4,625573,670782
PDE6B-AS1,4,652850,656213
PDGFC,4,156760454,156971799
PDGFRA,4,54229280,54298245
PDHA2,4,95840093,95841464
PDLIM3,4,185500660,185535507
PDLIM5,4,94451857,94668227
PDS5A,4,39822863,39977956
PES1P1,4,134327063,134328798
PF4,4,73980811,73982027
PF4V1,4,73853296,73854483
PGAM4P2,4,115764099,115764819
PGBD4P4,4,130494673,130495285
PGM2,4,37826660,37862937
PGRMC2,4,128269237,128288829
PHB1P14,4,167648430,167648796
PHOX2B,4,41744082,41748725
PHOX2B-AS1,4,41748293,41872775
PI4K2B,4,25160663,25279204
PIGG,4,499210,540200
PIGY,4,88520998,88523776
PIGY-DT,4,88523826,88524983
PIMREGP2,4,105526596,105527397
PIMREGP4,4,26873561,26874349
PITX2,4,110617423,110642123
PKD2,4,88007635,88077777
PLA2G12A,4,109709989,109730070
PLAC8,4,83059493,83137075
PLK4,4,127880893,127899224
PLRG1,4,154535005,154550400
PMPCAP1,4,92182477,92184052
POLN,4,2071918,2242121
POLR2B,4,56977722,57031158
POLR2MP1,4,68038544,68039647
POU4F2,4,146638893,146642474
PPA2,4,105369077,105474067
PPARGC1A,4,23755041,23904089
PPAT,4,56393362,56435615
PPBP,4,73985966,73988276
PPBPP1,4,73847866,73848829
PPBPP2,4,74054041,74054820
PPEF2,4,75859864,75902571
PPIAP76,4,124062462,124062990
PPID,4,158709127,158723396
PPM1K,4,88257620,88284769
PPM1K-DT,4,88283967,88370797
PPP1R14BP3,4,139114930,139115374
PPP2R2C,4,6320578,6563600
PPP3CA,4,101023409,101348278
PRDM5,4,120684919,120922870
PRDM8,4,80183879,80204329
PRDM8-AS1,4,80181264,80197410
PRIMPOL,4,184649667,184694963
PRKG2,4,81087370,81215222
PRKG2-AS1,4,81164922,81193395
PRMT5P1,4,147458724,147459321
PRMT9,4,147637785,147684163
PROM1,4,15963076,16084378
PRR27,4,70133616,70176799
PRSS12,4,118280038,118353003
PSAPL1,4,7430285,7434930
PSME2P3,4,159007119,159007835
PSME2P4,4,37995494,37996203
PTGES3P3,4,169791221,169791702
PTPN11P5,4,82580117,82581384
PTPN13,4,86594315,86815171
PTTG2,4,37960398,37961128
PYURF,4,88520998,88523776
QDPR,4,17460261,17512206
QKILA,4,139564295,139666068
QRFPR,4,121328642,121381059
R3HDM2P1,4,133124104,133126063
RAB28,4,13361354,13484365
RAB33B,4,139453232,139476609
RAB33B-AS1,4,139405367,139454054
RAC1P2,4,46723830,46724408
RAC1P5,4,107203349,107203924
RACK1P3,4,92821986,92822918
RAF1P1,4,10254926,10256621
RANP6,4,173633728,173634371
RAP1GDS1,4,98261384,98443858
RAPGEF2,4,159103013,159360174
RASGEF1B,4,81426393,82044244
RASL11B,4,52862317,52866835
RASSF6,4,73571550,73620631
RBM46,4,154781213,154828813
RBM47,4,40423267,40630875
RBM48P1,4,126563509,126564776
RBMXP4,4,109346326,109347459
RBPJ,4,26163455,26435131
RCC2P8,4,108788745,108789779
RCHY1,4,75479033,75514764
REELD1,4,146214515,146232267
RELL1,4,37590800,37686376
REST,4,56907876,56966808
RFC1,4,39287456,39366375
RGS12,4,3293021,3439913
RHOH,4,40191011,40246967
RN7SKP105,4,163828800,163829113
RN7SKP113,4,4920770,4921064
RN7SKP136,4,177181442,177181741
RN7SKP137,4,121061172,121061478
RN7SKP170,4,15093767,15094094
RN7SKP188,4,167662986,167663302
RN7SKP199,4,45995119,45995423
RN7SKP235,4,145035132,145035436
RN7SKP237,4,139685127,139685427
RN7SKP244,4,88583666,88583972
RN7SKP248,4,90370123,90370427
RN7SKP253,4,139794125,139794433
RN7SKP275,4,5458581,5458881
RN7SKP28,4,96348734,96349038
RN7SKP292,4,6997012,6997328
RN7SKP30,4,55540502,55540835
RN7SKP35,4,151576766,151576916
RN7SKP36,4,7112088,7112399
RN7SKP48,4,85100496,85100823
RN7SKP67,4,182631454,182631688
RN7SKP82,4,42892396,42892618
RN7SKP96,4,86336318,86336614
RN7SL101P,4,28711198,28711476
RN7SL127P,4,78898855,78899154
RN7SL152P,4,140577925,140578222
RN7SL16P,4,24563193,24563461
RN7SL184P,4,113419840,113420136
RN7SL193P,4,43863274,43863549
RN7SL205P,4,131720260,131720543
RN7SL218P,4,74011578,74011876
RN7SL253P,4,173141643,173141938
RN7SL254P,4,147808926,147809209
RN7SL275P,4,110117736,110118070
RN7SL28P,4,184278936,184279233
RN7SL311P,4,139185441,139185746
RN7SL335P,4,122087508,122087811
RN7SL357P,4,56805834,56806131
RN7SL382P,4,139100377,139100658
RN7SL419P,4,153381729,153382015
RN7SL424P,4,55063738,55064026
RN7SL446P,4,152264150,152264445
RN7SL492P,4,56794348,56794642
RN7SL552P,4,84687725,84688000
RN7SL558P,4,39761000,39761298
RN7SL55P,4,109450772,109451068
RN7SL589P,4,2316197,2316506
RN7SL681P,4,87386883,87387174
RN7SL691P,4,43598544,43598844
RN7SL728P,4,102348392,102348691
RN7SL776P,4,167400495,167400762
RN7SL808P,4,114799331,114799629
RN7SL822P,4,55215624,55215919
RN7SL89P,4,105293664,105293946
RNA5SP152,4,8393015,8393124
RNA5SP153,4,9411178,9411253
RNA5SP154,4,9792751,9792861
RNA5SP155,4,10115756,10115884
RNA5SP158,4,38758791,38758892
RNA5SP159,4,39936753,39936855
RNA5SP160,4,40990154,40990273
RNA5SP161,4,56097390,56097504
RNA5SP163,4,71759518,71759616
RNA5SP164,4,93820171,93820280
RNA5SP165,4,147745303,147745417
RNA5SP166,4,148557947,148558048
RNA5SP168,4,150970671,150970782
RNA5SP171,4,166918364,166918478
RNA5SP172,4,177457111,177457228
RNA5SP173,4,178406695,178406830
RNA5SP527,4,67439992,67440118
RNF150,4,140859807,141212877
RNF175,4,153710160,153760024
RNF212,4,1056250,1113564
RNF4,4,2462220,2515857
RNPS1P1,4,11371975,11372892
RNU1-138P,4,113420323,113420486
RNU1-36P,4,88000237,88000401
RNU1-44P,4,146580048,146580210
RNU1-45P,4,178116721,178116861
RNU1-51P,4,189709539,189709714
RNU1-63P,4,67429591,67429754
RNU1-89P,4,135995929,135996092
RNU2-16P,4,75829454,75829589
RNU2-34P,4,182548659,182548779
RNU2-40P,4,65807240,65807435
RNU2-44P,4,154790291,154790484
RNU2-66P,4,154787118,154787278
RNU4-33P,4,119367562,119367646
RNU4-87P,4,165252580,165252661
RNU4ATAC9P,4,72965178,72965303
RNU5A-2P,4,81334303,81334418
RNU5E-3P,4,48574453,48574520
RNU6-1000P,4,76356610,76356715
RNU6-1053P,4,183705931,183706031
RNU6-1054P,4,118606450,118606553
RNU6-1059P,4,95868667,95868764
RNU6-1096P,4,173446603,173446704
RNU6-1112P,4,40077884,40077982
RNU6-112P,4,88275205,88275308
RNU6-1187P,4,77150328,77150437
RNU6-1195P,4,41113942,41114045
RNU6-1196P,4,153265662,153265755
RNU6-119P,4,116839279,116839385
RNU6-1214P,4,139318378,139318486
RNU6-1217P,4,119434005,119434108
RNU6-1252P,4,52494849,52494952
RNU6-1285P,4,154543933,154544037
RNU6-128P,4,158794590,158794696
RNU6-1325P,4,59834063,59834167
RNU6-145P,4,76532222,76532327
RNU6-158P,4,48932755,48932854
RNU6-191P,4,64397694,64397787
RNU6-197P,4,56288485,56288584
RNU6-204P,4,3044101,3044207
RNU6-276P,4,55798636,55798731
RNU6-284P,4,164620732,164620837
RNU6-310P,4,53265461,53265567
RNU6-32P,4,39297605,39297711
RNU6-335P,4,183675603,183675715
RNU6-33P,4,88684848,88684954
RNU6-34P,4,96152297,96152403
RNU6-351P,4,104974672,104974771
RNU6-35P,4,109992325,109992431
RNU6-420P,4,22118983,22119089
RNU6-431P,4,108652150,108652256
RNU6-462P,4,101723876,101723980
RNU6-469P,4,84886386,84886486
RNU6-479P,4,183653572,183653676
RNU6-506P,4,139231026,139231119
RNU6-531P,4,139055475,139055578
RNU6-553P,4,105406997,105407092
RNU6-573P,4,35495898,35496003
RNU6-578P,4,12312588,12312690
RNU6-582P,4,157201562,157201668
RNU6-583P,4,127891991,127892082
RNU6-615P,4,83003412,83003517
RNU6-635P,4,103924540,103924641
RNU6-652P,4,55885595,55885701
RNU6-668P,4,164787290,164787396
RNU6-733P,4,107867807,107867910
RNU6-746P,4,55294490,55294598
RNU6-774P,4,84233657,84233763
RNU6-784P,4,70703018,70703123
RNU6-818P,4,88201703,88201810
RNU6-836P,4,41084607,41084713
RNU6-838P,4,48106081,48106188
RNU6-853P,4,168885355,168885461
RNU6-887P,4,39399149,39399248
RNU6-907P,4,89130852,89130953
RNU6-931P,4,45480030,45480136
RNU6-948P,4,121192797,121192903
RNU6-95P,4,68003895,68004001
RNU6-998P,4,57002692,57002792
RNU6ATAC13P,4,170891467,170891597
RNU6ATAC5P,4,73026748,73026873
RNU7-11P,4,39621012,39621073
RNU7-149P,4,98966815,98966873
RNU7-151P,4,102837047,102837099
RNU7-194P,4,150209706,150209768
RNU7-197P,4,148991572,148991633
RNU7-74P,4,40377452,40377513
RNY1P14,4,140700835,140700942
RNY4P17,4,169005249,169005344
RPF2P2,4,115628812,115629707
RPL12P20,4,41389115,41389593
RPL14P3,4,140366240,140366861
RPL15P7,4,47706372,47706987
RPL15P8,4,128069014,128069612
RPL17P19,4,61211652,61212203
RPL17P20,4,56710060,56710614
RPL21P44,4,53986587,53987058
RPL21P45,4,37821361,37821838
RPL21P46,4,19813749,19814231
RPL21P47,4,62248294,62248770
RPL21P48,4,98409290,98409763
RPL21P49,4,102662611,102663073
RPL21P50,4,123745750,123746226
RPL21P51,4,165012366,165012845
RPL21P52,4,47490967,47491471
RPL21P53,4,127812720,127813200
RPL22P13,4,54221126,54221472
RPL23AP94,4,112530371,112530672
RPL30P5,4,83502699,83503034
RPL30P6,4,95644952,95645293
RPL31P24,4,88163579,88163967
RPL31P26,4,147425974,147426351
RPL31P31,4,33968174,33968526
RPL32P12,4,13647697,13648400
RPL32P13,4,112738672,112739106
RPL34,4,108620569,108630484
RPL34-DT,4,108538190,108620518
RPL35AP12,4,163382179,163382516
RPL36AP19,4,112171215,112171527
RPL36AP23,4,111551854,111552173
RPL38P3,4,54976159,54976371
RPL3P13,4,84544304,84544519
RPL5P11,4,173419245,173420137
RPL5P12,4,98025390,98026240
RPL5P13,4,142286917,142287625
RPL6P10,4,65573459,65574328
RPL6P11,4,157968412,157969615
RPL6P12,4,169166272,169167117
RPL6P13,4,86870191,86871404
RPL6P14,4,104886118,104886955
RPL6P16,4,184254509,184255330
RPL7AP26,4,82490823,82491635
RPL7AP27,4,188349376,188350024
RPL7AP28,4,131857343,131857913
RPL7AP29,4,3323977,3324762
RPL7AP30,4,112788083,112788878
RPL7AP31,4,56356135,56356932
RPL7L1P13,4,110399773,110400511
RPL7L1P14,4,99990737,99991477
RPL7P17,4,77082403,77083126
RPL9,4,39452587,39458931
RPL9P16,4,168755816,168756382
RPPH1-3P,4,156986372,156986693
RPS15AP17,4,62105660,62106049
RPS21P4,4,16256308,16256555
RPS23P2,4,137448087,137448501
RPS23P3,4,66431092,66431521
RPS23P4,4,145269810,145270558
RPS26P24,4,57352999,57353329
RPS27P13,4,22594196,22594450
RPS29P11,4,25678850,25679020
RPS3AP16,4,4076711,4077491
RPS3AP18,4,152551277,152552364
RPS3AP19,4,9563171,9563950
RPS7P15,4,4507078,4507777
RPS7P6,4,17427696,17428274
RPS7P7,4,42471810,42472380
RPSAP34,4,108407843,108408578
RPSAP35,4,117413462,117414279
RPSAP36,4,143425052,143425920
RPSAP39,4,80161129,80162011
RPSAP70,4,186157896,186158843
RRH,4,109827972,109849123
RTEL1P1,4,112356135,112359819
RTN3P1,4,145375543,145376253
RUFY3,4,70704204,70808619
RWDD4,4,183639635,183659203
RXFP1,4,158315311,158653372
S100P,4,6693878,6697170
SAP30,4,173369969,173377532
SAP30-DT,4,173349543,173371866
SAR1AP3,4,120342056,120342647
SCARB2,4,76158737,76234536
SCARNA22,4,1974636,1974760
SCD5,4,82629539,82798796
SCFD2,4,52872982,53366066
SCGB1D5P,4,165517255,165517501
SCLT1,4,128864921,129093600
SCOC,4,140257286,140385728
SCOC-AS1,4,140283724,140373432
SCPPPQ1,4,87460802,87471050
SCRG1,4,173384701,173406380
SDAD1,4,75940950,75990962
SDAD1-AS1,4,75980790,76005942
SEC24B,4,109433772,109540896
SEC24B-AS1,4,109346134,109434572
SEC24D,4,118722823,118838683
SEC31A,4,82818509,82901166
SEC63P2,4,35487812,35489750
SEL1L3,4,25747433,25863760
SEPSECS,4,25120014,25160550
SEPSECS-AS1,4,25160641,25201440
SEPTIN11,4,76949751,77040384
SEPTIN14P4,4,118640673,118640858
SEPTIN7P14,4,119457968,119461864
SERBP1P5,4,78180866,78182046
SERF1AP1,4,137301001,137301187
SETD7,4,139495941,139606699
SETP12,4,120895494,120897083
SETP20,4,109553243,109554094
SFRP2,4,153780591,153789083
SGCB,4,52020706,52038299
SGMS2,4,107824563,107915047
SH3BP2,4,2793023,2841291
SH3RF1,4,169094259,169270956
SH3TC1,4,8182072,8241803
SHISA3,4,42397488,42402487
SHROOM3,4,76435229,76783253
SHROOM3-AS1,4,76624149,76802480
SLAIN2,4,48341529,48426201
SLBP,4,1692731,1712344
SLC10A4,4,48483343,48489526
SLC10A6,4,86823468,86849384
SLC10A7,4,146253975,146522372
SLC25A14P1,4,83477524,83478424
SLC25A31,4,127730400,127774292
SLC25A4,4,185143266,185150382
SLC25A5P6,4,186328716,186329601
SLC26A1,4,979073,993440
SLC2A9,4,9771153,10054936
SLC2A9-AS1,4,10006478,10073508
SLC30A9,4,41990502,42090461
SLC34A2,4,25648011,25678748
SLC39A8,4,102251080,102431258
SLC49A3,4,681829,689271
SLC4A4,4,71062667,71572087
SLC7A11,4,138164097,138242349
SLC7A11-AS1,4,138057464,138178177
SLC9B1,4,102885048,103019719
SLC9B2,4,103019868,103085829
SLIT2,4,20251905,20620561
SLIT2-IT1,4,20392132,20394882
SMAD1,4,145481194,145559176
SMAD1-AS1,4,145514615,145517118
SMAD1-AS2,4,145415612,145502975
SMARCA5,4,143513702,143557486
SMARCA5-AS1,4,143513027,143514635
SMARCAD1,4,94207611,94291292
SMARCAD1-DT,4,94117792,94207556
SMIM14,4,39546336,39638902
SMIM14-DT,4,39638911,39666879
SMIM20,4,25861830,25929813
SMIM31,4,164754064,164803795
SMIM43,4,121758881,121765427
SMR3A,4,70360760,70367158
SMR3B,4,70370093,70390244
SNCA,4,89700345,89838315
SNCA-AS1,4,89836394,89842294
SNHG27,4,131725154,131791492
SNHG8,4,118278462,118285316
SNORA24,4,118279190,118279320
SNORA26,4,52713249,52713370
SNORA75B,4,17320746,17320882
SNRPCP13,4,9583942,9584131
SNRPCP16,4,9051842,9052051
SNX18P25,4,49588772,49589529
SNX25,4,185204237,185370185
SNX5P1,4,76344550,76345590
SOD3,4,24789912,24800842
SORBS2,4,185585444,185956652
SORBS2-AS1,4,185587909,185594003
SORCS2,4,7192538,7742827
SOWAHB,4,76894152,76898144
SPARCL1,4,87473335,87531061
SPATA18,4,52051304,52097299
SPATA4,4,176184579,176195585
SPCS3,4,176319966,176332245
SPCS3-AS1,4,176308268,176320458
SPICP5,4,2324467,2325082
SPINK2,4,56809860,56821742
SPMAP2L,4,56530606,56603507
SPMIP2,4,158893134,159038760
SPOCK3,4,166733384,167234796
SPON2,4,1166932,1208962
SPOPLP2,4,68996935,68997709
SPOPLP3,4,68883885,68884440
SPP1,4,87975667,87983532
SPRY1,4,123396795,123403760
SRD5A3,4,55346213,55373100
SRD5A3-AS1,4,55363971,55396096
SRIP1,4,58103147,58103434
SRP72,4,56467617,56503681
ST3GAL1P1,4,67716375,67717388
STAP1,4,67558727,67607337
STATH,4,69995966,70002570
STBD1,4,76306733,76311130
STIM2,4,26857601,27025381
STIM2-AS1,4,26859624,26860692
STK32B,4,5051480,5500994
STMN1P2,4,137425426,137425864
STOX2,4,183797692,184023526
STPG2,4,97184093,98143476
STPG2-AS1,4,97366679,97491899
STX18,4,4415742,4542346
STX18-AS1,4,4542090,4821468
STX18-IT1,4,4476121,4481700
SULT1B1,4,69721167,69787961
SULT1D1P,4,69791872,69813888
SULT1E1,4,69841212,69860145
SYNPO2,4,118850688,119061247
SYT14P1,4,68062548,68063268
TACC3,4,1712858,1745171
TACR3,4,103586031,103719985
TACR3-AS1,4,103548745,103624534
TADA2B,4,7041899,7057952
TAPT1,4,16160505,16227410
TAPT1-AS1,4,16226685,16323197
TARS2P1,4,135565117,135567157
TBC1D1,4,37891084,38139175
TBC1D14,4,6909242,7033118
TBC1D19,4,26576437,26756223
TBC1D9,4,140620782,140756385
TBCAP3,4,98909537,98909848
TBCK,4,106041599,106316683
TEC,4,48135783,48269838
TECRL,4,64275257,64409468
TECRP1,4,86949669,86950113
TECRP2,4,124462863,124463790
TENM3,4,182143987,182803024
